Name,Pos,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,<20,20-29,30-39,40-49,50+,Lng
Small. J.,K,TIJ,14,34,37,91.9,22,27,81.5,0/0,5/5,10/12,7/9,0/1,47
Solarin. K.,P,MB,14,31,32,96.9,23,27,85.2,1/1,4/4,10/11,8/10,0/1,45
Stein. P.,K,MINN,14,32,33,97,21,25,84,0/0,7/8,4/6,8/9,2/2,57
Bauer (GM). S.,K,NOR,14,22,24,91.7,25,30,83.3,1/1,6/7,12/12,6/8,0/2,46
Hunt. K.,K,KC,14,21,24,87.5,22,26,84.6,1/1,13/14,7/7,1/4,0/0,42
QB. P.,P,POR,14,26,28,92.9,17,19,89.5,0/0,4/5,5/5,7/7,1/2,52
PhastBawl. D.,K,LDN,14,27,29,93.1,13,14,92.9,2/2,3/3,4/5,3/3,1/1,57
Boomski. B.,P,DAL,10,17,18,94.4,17,19,89.5,1/1,3/3,6/7,6/6,1/2,53
Watts. Z.,K,DAL,4,6,7,85.7,4,8,50,0/0,1/2,0/2,2/2,1/2,55
