Tijuana Luchadores, 10, 4, 0, .714, 330, 259, 6-1-0, 4-3-0, 5-1-0, 5-1-0, W1, Norfolk Seawolves, 8, 6, 0, .571, 251, 271, 3-4-0, 5-2-0, 4-2-0, 4-2-0, W2, Dallas Birddogs, 7, 7, 0, .500, 248, 274, 4-3-0, 3-4-0, 2-4-0, 2-4-0, W1, Myrtle Beach Buccaneers, 7, 7, 0, .500, 302, 217, 4-3-0, 3-4-0, 1-5-0, 1-5-0, L1
Minnesota Grey Ducks, 8, 6, 0, .571, 317, 216, 5-2-0, 3-4-0, 4-2-0, 4-2-0, W1, London Royals, 6, 8, 0, .429, 260, 326, 5-2-0, 1-6-0, 2-4-0, 2-4-0, L1, Portland Pythons, 5, 9, 0, .357, 245, 277, 4-3-0, 1-6-0, 3-3-0, 3-3-0, L2, Kansas City Coyotes, 5, 9, 0, .357, 231, 344, 5-2-0, 0-7-0, 3-3-0, 3-3-0, L1
