Yellowknife Wraiths, 11, 2, 0, .846, 406, 196, 6-1-0, 5-1-0, 9-1-0, 9-1-0, W5, Colorado Yeti, 8, 5, 0, .615, 295, 208, 5-1-0, 3-4-0, 8-2-0, 8-2-0, W2, Sarasota Sailfish, 6, 7, 0, .462, 219, 266, 4-2-0, 2-5-0, 6-4-0, 6-4-0, W1, Philadelphia Liberty, 6, 7, 0, .462, 252, 263, 2-4-0, 4-3-0, 4-6-0, 4-6-0, L1, Baltimore Hawks, 3, 10, 0, .231, 195, 283, 1-6-0, 2-4-0, 3-7-0, 3-7-0, L2, Chicago Butchers, 1, 12, 0, .077, 111, 389, 0-7-0, 1-5-0, 0-10-0, 0-10-0, L6
Orange County Otters, 10, 3, 0, .769, 341, 234, 5-2-0, 5-1-0, 7-3-0, 7-3-0, W1, Austin Copperheads, 8, 4, 1, .654, 368, 251, 5-2-0, 3-2-1, 6-3-1, 6-3-1, W7, New Orleans Second Line, 8, 5, 0, .615, 269, 257, 4-2-0, 4-3-0, 5-5-0, 5-5-0, W1, San Jose SaberCats, 8, 5, 0, .615, 288, 251, 4-2-0, 4-3-0, 6-4-0, 6-4-0, L1, Arizona Outlaws, 4, 8, 1, .346, 246, 306, 2-4-1, 2-4-0, 2-7-1, 2-7-1, L1, Honolulu Hahalua, 4, 9, 0, .308, 194, 280, 3-3-0, 1-6-0, 3-7-0, 3-7-0, L2
